creator,video_title,link,upload_date,period,food_type,portion_size,views,likes,comments,food_quantity,calories
Nikocado Avocado,We Just Got Married • Our Wedding Day At Chick-Fil-A • MUKBANG,https://www.youtube.com/watch?v=iCdA9dD-sm0,2017-04-18,early,mixed/unknown,extreme,678441,12414,8755,,
Nikocado Avocado,Pizza Hut vs. Domino's vs. Papa John's vs. Little Caesars • PIZZA TASTE TEST,https://www.youtube.com/watch?v=1TegKZKrtK4,2017-04-17,early,pizza,large,1189921,11081,3396,,
Nikocado Avocado,"Eggs, Bacon, Hash Browns, & Pancakes • Denny's • MUKBANG",https://www.youtube.com/watch?v=QYxQa24pbtw,2017-04-16,early,dessert/sweets,extreme,247287,3444,1164,,
Nikocado Avocado,"Hot Wings, Mozzarella Sticks, & Whisky Bacon Cheeseburger • Applebee's • MUKBANG",https://www.youtube.com/watch?v=QmPFm_CgiKM,2017-04-15,early,burger,extreme,443466,5992,975,,
Nikocado Avocado,Late Night Burger King Whopper & Chicken Fries • MUKBANG,https://www.youtube.com/watch?v=SYXWeHC1AvQ,2017-04-14,early,burger,extreme,281458,3375,541,,
Nikocado Avocado,Checkers Drive-Thru • MUKBANG,https://www.youtube.com/watch?v=8WDe4yNK-OY,2017-04-13,early,mixed/unknown,extreme,831646,10322,1477,,
Nikocado Avocado,Sonic Drive-In • MUKBANG,https://www.youtube.com/watch?v=aQCjceTdzO8,2017-04-12,early,mixed/unknown,extreme,1847647,18488,3563,2 burgers,
Nikocado Avocado,Getting Married & Eating Pizza • MUKBANG,https://www.youtube.com/watch?v=hgwKska-YZ0,2017-04-11,early,pizza,extreme,466731,5758,1415,,
Nikocado Avocado,Wendy's • MUKBANG,https://www.youtube.com/watch?v=ug2lqSMJ7Rw,2017-04-10,early,mixed/unknown,extreme,687767,7857,1332,,
Nikocado Avocado,Fettuccine Alfredo Noodles & Mozzarella Chicken Parmesan • Olive Garden • MUKBANG,https://www.youtube.com/watch?v=FzpynQ89osc,2017-04-09,early,ramen/noodles,extreme,1175877,11415,2160,,
Nikocado Avocado,Shake Shack • MUKBANG,https://www.youtube.com/watch?v=wkTWwRmUqcU,2017-04-08,early,mixed/unknown,extreme,187068,3118,491,,
Nikocado Avocado,Taco Bell • Getting Married • MUKBANG,https://www.youtube.com/watch?v=tYcSmlo2mzA,2017-04-07,early,taco/burrito,extreme,361198,4376,1042,,
Nikocado Avocado,Massive Chinese Buffet • All You Can Eat • MUKBANG,https://www.youtube.com/watch?v=xpqXE0SAj_Q,2017-04-06,early,mixed/unknown,super extreme,2957927,27193,4523,,
Nikocado Avocado,I'M A DRUNK HOT MESS • Mukbang & Recipe,https://www.youtube.com/watch?v=kjhJ9iXiXUU,2017-04-05,early,mixed/unknown,extreme,280602,4346,1432,3 pound block of cheese and oil,
Nikocado Avocado,HOT CHEETOS NOODLES WITH MY BOYFRIEND • Mukbang & Recipe,https://www.youtube.com/watch?v=2MPKQGquS1k,2017-04-02,early,ramen/noodles,extreme,882961,8922,3728,,
Nikocado Avocado,WHY WE BROKE UP,https://www.youtube.com/watch?v=l86Dvnvu7MI,2017-04-01,early,mixed/unknown,unknown,601755,5517,1502,,
Nikocado Avocado,"Hot Cheetos, Doritos, Takis, & Nachos With Cheese • MUKBANG",https://www.youtube.com/watch?v=M5PNE5rbSwM,2017-03-31,early,mixed/unknown,super extreme,222157,2818,1831,000 calories of food in 1 full day,10000
Nikocado Avocado,McDonald's Burgers & Fries • MUKBANG,https://www.youtube.com/watch?v=sK0aJaO8R40,2017-03-30,early,burger,super extreme,322618,3618,813,3 burgers (bacon mctriple; 000 calories in 1 day,10000
Nikocado Avocado,Domino's Pizza • MUKBANG,https://www.youtube.com/watch?v=lt3NJfvel4U,2017-03-29,early,pizza,super extreme,112632,1562,392,000 calorie challenge; watch the full 10k challenge here: https://www,10000
Nikocado Avocado,Donut Challenge • MUKBANG,https://www.youtube.com/watch?v=iEpxQ7gUl3k,2017-03-28,early,dessert/sweets,super extreme,1065112,12011,1622,000 calories of donuts,10000
Nikocado Avocado,"10,000 CALORIE CHALLENGE",https://www.youtube.com/watch?v=a2TM79HzHDE,2017-03-27,early,mixed/unknown,super extreme,632995,9067,2203,24 donuts from dunkin' donuts; 3 burgers and 2 large fries from mcdonald's; 000 calorie challenge watch me eat 10; 000 calories of american fast food in under 24 hours aka the 10k challenge,10000
Nikocado Avocado,I'm Going Vegan • MUKBANG,https://www.youtube.com/watch?v=F7R2nkCzSqc,2017-03-26,early,mixed/unknown,extreme,247275,3145,1211,,
Nikocado Avocado,"Bacon, Chips, & Cheesy Pasta • MUKBANG",https://www.youtube.com/watch?v=pSABq_8_YqI,2017-03-25,early,mixed/unknown,extreme,616865,7069,1434,10 pieces of bacon,
Nikocado Avocado,Say Hello To My Double Chin,https://www.youtube.com/watch?v=mWyge9qsLeA,2017-03-25,early,mixed/unknown,unknown,858548,5855,2478,,
Nikocado Avocado,I'm Getting Fat & Don't Know Why,https://www.youtube.com/watch?v=AgVc3p9b2YA,2017-03-24,early,mixed/unknown,unknown,1917896,15401,11650,,
Nikocado Avocado,SUPER SPICY CHEESY RAMEN NOODLES • Mukbang & Recipe,https://www.youtube.com/watch?v=aG0r0kbXfEk,2017-03-23,early,ramen/noodles,extreme,577045,5748,1348,,
Nikocado Avocado,SERIOUS ALLEGATIONS AGAINST MY BOYFRIEND,https://www.youtube.com/watch?v=0cQeg9RbwWM,2017-03-22,early,mixed/unknown,unknown,401929,4504,2010,,
Nikocado Avocado,CHEESIEST GRILLED CHEESE • Mukbang & Recipe,https://www.youtube.com/watch?v=GuUfzb5GQLY,2017-03-21,early,mixed/unknown,extreme,387452,5624,942,,
Nikocado Avocado,SPICY FIRE CHICKEN CHEESE FONDUE • Mukbang & Recipe,https://www.youtube.com/watch?v=I3444zNHlnw,2017-03-20,early,fried chicken,extreme,778299,10263,2183,,
Nikocado Avocado,LOADED CHEESE FRIES • Mukbang & Recipe,https://www.youtube.com/watch?v=VDYREodZXdE,2017-03-19,early,mixed/unknown,extreme,240465,3219,795,,
Nikocado Avocado,Sushi • MUKBANG,https://www.youtube.com/watch?v=jJ_V50K-8oI,2017-03-18,early,mixed/unknown,extreme,86776,1535,616,,
Nikocado Avocado,Noodle • MUKBANG,https://www.youtube.com/watch?v=iqZfgNvTPj0,2017-03-17,early,ramen/noodles,extreme,198499,2595,1384,,
Nikocado Avocado,Ramen Noodles From Around The World • MUKBANG,https://www.youtube.com/watch?v=b2GN48vZjzA,2017-03-16,early,ramen/noodles,extreme,407580,5155,1157,,
Nikocado Avocado,GIANT CRISPY FRIED DUMPLINGS • Mukbang & Recipe,https://www.youtube.com/watch?v=hLSbxokN_Eo,2017-03-14,early,mixed/unknown,super extreme,468197,6111,976,,
Nikocado Avocado,Fast Food Challenge • MUKBANG,https://www.youtube.com/watch?v=qEY5c-YmGe4,2017-03-13,early,mixed/unknown,extreme,1054366,12501,5407,,
Nikocado Avocado,Mexican Food • MUKBANG,https://www.youtube.com/watch?v=iorWU5cGWos,2017-03-11,early,mixed/unknown,extreme,149951,2989,596,,
Nikocado Avocado,ITALIAN PASTA CARBONARA • Mukbang & Recipe,https://www.youtube.com/watch?v=2B_gsgc3tzw,2017-03-10,early,mixed/unknown,extreme,279975,4784,1077,,
Nikocado Avocado,Drunk • Korean Fire Noodle Challenge • MUKBANG,https://www.youtube.com/watch?v=BvMC7QPW8E8,2017-03-09,early,ramen/noodles,extreme,239801,3405,1037,,
Nikocado Avocado,California Sushi & Carbonara • MUKBANG,https://www.youtube.com/watch?v=QD2jZxa1ysQ,2017-03-08,early,mixed/unknown,extreme,156824,2841,818,,
Nikocado Avocado,BLACK BEAN NOODLES • 짜장면 • Mukbang & Recipe,https://www.youtube.com/watch?v=wPjyfthIOFM,2017-03-07,early,ramen/noodles,extreme,406277,5339,1076,,
Nikocado Avocado,100 Chicken Nugget Challenge • MUKBANG,https://www.youtube.com/watch?v=ynHYi5TXf5k,2017-03-06,early,fried chicken,extreme,507622,6466,1320,,
Nikocado Avocado,Kimchi Noodle • MUKBANG,https://www.youtube.com/watch?v=GX1xGcP9NxQ,2017-03-05,early,ramen/noodles,extreme,514346,5620,4776,,
Nikocado Avocado,Street Food • MUKBANG,https://www.youtube.com/watch?v=hn0I85g14yE,2017-03-04,early,mixed/unknown,extreme,158420,2625,697,,
Nikocado Avocado,KOREAN KIMCHI EGG ROLL • Mukbang & Recipe,https://www.youtube.com/watch?v=685Sdl-aL30,2017-03-03,early,mixed/unknown,extreme,93138,1809,691,,
Nikocado Avocado,"I'M SORRY, I WAS WRONG",https://www.youtube.com/watch?v=jMaC0-RcHMM,2017-03-02,early,mixed/unknown,unknown,507225,5324,1861,,
