Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
,,,,,,,,,,,,,,,,,,,,,,,,,serve!,2
,,,,,,,,,,,,,,,,,,,,,,,,,"serve,",2
,,,,,,,,,,,,,,,,,,,,,,,,,servings,2
,,,,,,,,,,,,,,,,,,,,,,,,,"sesame,",2
,,,,,,,,,,,,,,,,,,,,,,,,,sesuai,2
,,,,,,,,,,,,,,,,,,,,,,,,,"shallot,",2
,,,,,,,,,,,,,,,,,,,,,,,,,shallow,2
,,,,,,,,,,,,,,,,,,,,,,,,,sharing,2
,,,,,,,,,,,,,,,,,,,,,,,,,sharp,2
,,,,,,,,,,,,,,,,,,,,,,,,,"sheets,",2
,,,,,,,,,,,,,,,,,,,,,,,,,shin,2
,,,,,,,,,,,,,,,,,,,,,,,,,shiny.,2
,,,,,,,,,,,,,,,,,,,,,,,,,short,2
,,,,,,,,,,,,,,,,,,,,,,,,,shots,2
,,,,,,,,,,,,,,,,,,,,,,,,,side).,2
,,,,,,,,,,,,,,,,,,,,,,,,,sides,2
,,,,,,,,,,,,,,,,,,,,,,,,,sides™,2
,,,,,,,,,,,,,,,,,,,,,,,,,"sisig,",2
,,,,,,,,,,,,,,,,,,,,,,,,,site,2
,,,,,,,,,,,,,,,,,,,,,,,,,size,2
,,,,,,,,,,,,,,,,,,,,,,,,,sized,2
,,,,,,,,,,,,,,,,,,,,,,,,,skinless,2
,,,,,,,,,,,,,,,,,,,,,,,,,skins,2
,,,,,,,,,,,,,,,,,,,,,,,,,slider,2
,,,,,,,,,,,,,,,,,,,,,,,,,slowly.,2
,,,,,,,,,,,,,,,,,,,,,,,,,slurry,2
,,,,,,,,,,,,,,,,,,,,,,,,,smaller,2
,,,,,,,,,,,,,,,,,,,,,,,,,smashed,2
,,,,,,,,,,,,,,,,,,,,,,,,,smoothie,2
,,,,,,,,,,,,,,,,,,,,,,,,,snacks,2
,,,,,,,,,,,,,,,,,,,,,,,,,snickers,2
,,,,,,,,,,,,,,,,,,,,,,,,,"soft,",2
,,,,,,,,,,,,,,,,,,,,,,,,,soon,2
,,,,,,,,,,,,,,,,,,,,,,,,,soooooo,2
,,,,,,,,,,,,,,,,,,,,,,,,,sorbet,2
,,,,,,,,,,,,,,,,,,,,,,,,,sound,2
,,,,,,,,,,,,,,,,,,,,,,,,,sounds,2
,,,,,,,,,,,,,,,,,,,,,,,,,sourdough,2
,,,,,,,,,,,,,,,,,,,,,,,,,spatula.,2
,,,,,,,,,,,,,,,,,,,,,,,,,special,2
,,,,,,,,,,,,,,,,,,,,,,,,,spiced,2
,,,,,,,,,,,,,,,,,,,,,,,,,splash,2
,,,,,,,,,,,,,,,,,,,,,,,,,spoonful,2
,,,,,,,,,,,,,,,,,,,,,,,,,spoons,2
,,,,,,,,,,,,,,,,,,,,,,,,,sprigs,2
,,,,,,,,,,,,,,,,,,,,,,,,,squares,2
,,,,,,,,,,,,,,,,,,,,,,,,,stack,2
,,,,,,,,,,,,,,,,,,,,,,,,,stand,2
,,,,,,,,,,,,,,,,,,,,,,,,,staple,2
,,,,,,,,,,,,,,,,,,,,,,,,,"steak,",2
,,,,,,,,,,,,,,,,,,,,,,,,,step,2
,,,,,,,,,,,,,,,,,,,,,,,,,stiff,2
,,,,,,,,,,,,,,,,,,,,,,,,,stitch,2
,,,,,,,,,,,,,,,,,,,,,,,,,straight,2
,,,,,,,,,,,,,,,,,,,,,,,,,street,2
,,,,,,,,,,,,,,,,,,,,,,,,,strip,2
,,,,,,,,,,,,,,,,,,,,,,,,,strong,2
,,,,,,,,,,,,,,,,,,,,,,,,,stuck,2
,,,,,,,,,,,,,,,,,,,,,,,,,style,2
,,,,,,,,,,,,,,,,,,,,,,,,,suhu,2
,,,,,,,,,,,,,,,,,,,,,,,,,supermarkets,2
,,,,,,,,,,,,,,,,,,,,,,,,,support,2
,,,,,,,,,,,,,,,,,,,,,,,,,sushi,2
,,,,,,,,,,,,,,,,,,,,,,,,,"sweetener,",2
,,,,,,,,,,,,,,,,,,,,,,,,,syrup,2
,,,,,,,,,,,,,,,,,,,,,,,,,szechuan,2
,,,,,,,,,,,,,,,,,,,,,,,,,taco,2
,,,,,,,,,,,,,,,,,,,,,,,,,tagliatelle,2
,,,,,,,,,,,,,,,,,,,,,,,,,tahini,2
,,,,,,,,,,,,,,,,,,,,,,,,,tambahkan,2
,,,,,,,,,,,,,,,,,,,,,,,,,tap,2
,,,,,,,,,,,,,,,,,,,,,,,,,taquitos,2
,,,,,,,,,,,,,,,,,,,,,,,,,tartar,2
,,,,,,,,,,,,,,,,,,,,,,,,,tarts,2
,,,,,,,,,,,,,,,,,,,,,,,,,tatil,2
,,,,,,,,,,,,,,,,,,,,,,,,,tbsps,2
,,,,,,,,,,,,,,,,,,,,,,,,,telur,2
,,,,,,,,,,,,,,,,,,,,,,,,,tempered,2
,,,,,,,,,,,,,,,,,,,,,,,,,temu,2
,,,,,,,,,,,,,,,,,,,,,,,,,"tender,",2
,,,,,,,,,,,,,,,,,,,,,,,,,texas,2
,,,,,,,,,,,,,,,,,,,,,,,,,thankful,2
,,,,,,,,,,,,,,,,,,,,,,,,,that’s,2
,,,,,,,,,,,,,,,,,,,,,,,,,thawed,2
,,,,,,,,,,,,,,,,,,,,,,,,,there’s,2
,,,,,,,,,,,,,,,,,,,,,,,,,thick.,2
,,,,,,,,,,,,,,,,,,,,,,,,,thicken,2
,,,,,,,,,,,,,,,,,,,,,,,,,thickened,2
,,,,,,,,,,,,,,,,,,,,,,,,,thing,2
,,,,,,,,,,,,,,,,,,,,,,,,,this.,2
,,,,,,,,,,,,,,,,,,,,,,,,,thoroughly,2
,,,,,,,,,,,,,,,,,,,,,,,,,those,2
,,,,,,,,,,,,,,,,,,,,,,,,,thought,2
,,,,,,,,,,,,,,,,,,,,,,,,,tightly,2
,,,,,,,,,,,,,,,,,,,,,,,,,till,2
,,,,,,,,,,,,,,,,,,,,,,,,,time),2
,,,,,,,,,,,,,,,,,,,,,,,,,tip,2
,,,,,,,,,,,,,,,,,,,,,,,,,tiramisu,2
,,,,,,,,,,,,,,,,,,,,,,,,,tomatoes.,2
,,,,,,,,,,,,,,,,,,,,,,,,,tonight,2
,,,,,,,,,,,,,,,,,,,,,,,,,tons,2
,,,,,,,,,,,,,,,,,,,,,,,,,too!,2
,,,,,,,,,,,,,,,,,,,,,,,,,took,2
,,,,,,,,,,,,,,,,,,,,,,,,,top),2
,,,,,,,,,,,,,,,,,,,,,,,,,"top,",2
,,,,,,,,,,,,,,,,,,,,,,,,,topping.,2
,,,,,,,,,,,,,,,,,,,,,,,,,toppings,2
,,,,,,,,,,,,,,,,,,,,,,,,,"tortellini,",2
,,,,,,,,,,,,,,,,,,,,,,,,,tortilla,2
,,,,,,,,,,,,,,,,,,,,,,,,,touch,2
,,,,,,,,,,,,,,,,,,,,,,,,,towel,2
,,,,,,,,,,,,,,,,,,,,,,,,,transferring,2
,,,,,,,,,,,,,,,,,,,,,,,,,trimmed,2
,,,,,,,,,,,,,,,,,,,,,,,,,truffle,2
,,,,,,,,,,,,,,,,,,,,,,,,,try.,2
,,,,,,,,,,,,,,,,,,,,,,,,,trying,2
,,,,,,,,,,,,,,,,,,,,,,,,,tub,2
,,,,,,,,,,,,,,,,,,,,,,,,,tv,2
,,,,,,,,,,,,,,,,,,,,,,,,,uncover,2
,,,,,,,,,,,,,,,,,,,,,,,,,undisturbed,2
,,,,,,,,,,,,,,,,,,,,,,,,,unique,2
,,,,,,,,,,,,,,,,,,,,,,,,,usually,2
,,,,,,,,,,,,,,,,,,,,,,,,,veg,2
,,,,,,,,,,,,,,,,,,,,,,,,,vegan,2
,,,,,,,,,,,,,,,,,,,,,,,,,vegetables.,2
,,,,,,,,,,,,,,,,,,,,,,,,,verde,2
,,,,,,,,,,,,,,,,,,,,,,,,,versez,2
,,,,,,,,,,,,,,,,,,,,,,,,,version,2
,,,,,,,,,,,,,,,,,,,,,,,,,vervolgens,2
,,,,,,,,,,,,,,,,,,,,,,,,,videos,2
,,,,,,,,,,,,,,,,,,,,,,,,,viene,2
,,,,,,,,,,,,,,,,,,,,,,,,,vinegar.,2
,,,,,,,,,,,,,,,,,,,,,,,,,"visit
🔗",2
,,,,,,,,,,,,,,,,,,,,,,,,,vitamin,2
,,,,,,,,,,,,,,,,,,,,,,,,,vitamins,2
,,,,,,,,,,,,,,,,,,,,,,,,,vodka,2
,,,,,,,,,,,,,,,,,,,,,,,,,w/,2
,,,,,,,,,,,,,,,,,,,,,,,,,wait,2
,,,,,,,,,,,,,,,,,,,,,,,,,walmart,2
,,,,,,,,,,,,,,,,,,,,,,,,,"walnuts,",2
,,,,,,,,,,,,,,,,,,,,,,,,,walnuts.,2
,,,,,,,,,,,,,,,,,,,,,,,,,washed,2
,,,,,,,,,,,,,,,,,,,,,,,,,"website,",2
,,,,,,,,,,,,,,,,,,,,,,,,,website.,2
,,,,,,,,,,,,,,,,,,,,,,,,,weeknight,2
,,,,,,,,,,,,,,,,,,,,,,,,,weeks,2
,,,,,,,,,,,,,,,,,,,,,,,,,weight,2
,,,,,,,,,,,,,,,,,,,,,,,,,wellington,2
,,,,,,,,,,,,,,,,,,,,,,,,,were,2
,,,,,,,,,,,,,,,,,,,,,,,,,"wet,",2
,,,,,,,,,,,,,,,,,,,,,,,,,we’re,2
,,,,,,,,,,,,,,,,,,,,,,,,,whats,2
,,,,,,,,,,,,,,,,,,,,,,,,,what’s,2
,,,,,,,,,,,,,,,,,,,,,,,,,whenever,2
,,,,,,,,,,,,,,,,,,,,,,,,,whether,2
,,,,,,,,,,,,,,,,,,,,,,,,,whip,2
,,,,,,,,,,,,,,,,,,,,,,,,,"whites,",2
,,,,,,,,,,,,,,,,,,,,,,,,,whites.,2
,,,,,,,,,,,,,,,,,,,,,,,,,"wine,",2
,,,,,,,,,,,,,,,,,,,,,,,,,winners,2
,,,,,,,,,,,,,,,,,,,,,,,,,wire,2
,,,,,,,,,,,,,,,,,,,,,,,,,works,2
,,,,,,,,,,,,,,,,,,,,,,,,,x4,2
,,,,,,,,,,,,,,,,,,,,,,,,,yield:,2
,,,,,,,,,,,,,,,,,,,,,,,,,"yolks,",2
,,,,,,,,,,,,,,,,,,,,,,,,,you!,2
,,,,,,,,,,,,,,,,,,,,,,,,,"you!)

search",2
,,,,,,,,,,,,,,,,,,,,,,,,,you.,2
,,,,,,,,,,,,,,,,,,,,,,,,,younger,2
,,,,,,,,,,,,,,,,,,,,,,,,,you’ve,2
,,,,,,,,,,,,,,,,,,,,,,,,,zest,2
,,,,,,,,,,,,,,,,,,,,,,,,,zest.,2
,,,,,,,,,,,,,,,,,,,,,,,,,zestes,2
,,,,,,,,,,,,,,,,,,,,,,,,,zucchini,2
,,,,,,,,,,,,,,,,,,,,,,,,,~,2
,,,,,,,,,,,,,,,,,,,,,,,,, ,2
,,,,,,,,,,,,,,,,,,,,,,,,,®,2
,,,,,,,,,,,,,,,,,,,,,,,,,¾,2
,,,,,,,,,,,,,,,,,,,,,,,,,çorba,2
,,,,,,,,,,,,,,,,,,,,,,,,,étalez-le,2
,,,,,,,,,,,,,,,,,,,,,,,,,über,2
,,,,,,,,,,,,,,,,,,,,,,,,,быстрый,2
,,,,,,,,,,,,,,,,,,,,,,,,,добавьте,2
,,,,,,,,,,,,,,,,,,,,,,,,,ингредиенты:,2
,,,,,,,,,,,,,,,,,,,,,,,,,на,2
,,,,,,,,,,,,,,,,,,,,,,,,,одной,2
,,,,,,,,,,,,,,,,,,,,,,,,,приятного,2
,,,,,,,,,,,,,,,,,,,,,,,,,с,2
,,,,,,,,,,,,,,,,,,,,,,,,,сковороде,2
,,,,,,,,,,,,,,,,,,,,,,,,,"сыр,",2
,,,,,,,,,,,,,,,,,,,,,,,,,яйца,2
,,,,,,,,,,,,,,,,,,,,,,,,,،,2
,,,,,,,,,,,,,,,,,,,,,,,,,الباذنجان,2
,,,,,,,,,,,,,,,,,,,,,,,,,حسب,2
,,,,,,,,,,,,,,,,,,,,,,,,,خير,2
,,,,,,,,,,,,,,,,,,,,,,,,,رشة,2
,,,,,,,,,,,,,,,,,,,,,,,,,رمان,2
,,,,,,,,,,,,,,,,,,,,,,,,,ك,2
,,,,,,,,,,,,,,,,,,,,,,,,,كبيرة,2
,,,,,,,,,,,,,,,,,,,,,,,,,مسحوق,2
,,,,,,,,,,,,,,,,,,,,,,,,,من,2
,,,,,,,,,,,,,,,,,,,,,,,,,نادك,2
,,,,,,,,,,,,,,,,,,,,,,,,,و,2
,,,,,,,,,,,,,,,,,,,,,,,,,وصفة,2
,,,,,,,,,,,,,,,,,,,,,,,,,–,2
,,,,,,,,,,,,,,,,,,,,,,,,,—,2
,,,,,,,,,,,,,,,,,,,,,,,,,“majas,2
,,,,,,,,,,,,,,,,,,,,,,,,,“meal,2
,,,,,,,,,,,,,,,,,,,,,,,,,“recipe”,2
,,,,,,,,,,,,,,,,,,,,,,,,,“yes”,2
,,,,,,,,,,,,,,,,,,,,,,,,, -,2
,,,,,,,,,,,,,,,,,,,,,,,,, ,2
,,,,,,,,,,,,,,,,,,,,,,,,,▪️1/3,2
,,,,,,,,,,,,,,,,,,,,,,,,,▪️1/4,2
,,,,,,,,,,,,,,,,,,,,,,,,,▪️add,2
,,,,,,,,,,,,,,,,,,,,,,,,,▪️bake,2
,,,,,,,,,,,,,,,,,,,,,,,,,▪️top,2
,,,,,,,,,,,,,,,,,,,,,,,,,▫️1,2
,,,,,,,,,,,,,,,,,,,,,,,,,▫️2,2
,,,,,,,,,,,,,,,,,,,,,,,,,✅so,2
,,,,,,,,,,,,,,,,,,,,,,,,,🌙,2
,,,,,,,,,,,,,,,,,,,,,,,,,🍭,2
,,,,,,,,,,,,,,,,,,,,,,,,,🎃,2
,,,,,,,,,,,,,,,,,,,,,,,,,👇,2
,,,,,,,,,,,,,,,,,,,,,,,,,🔥,2
,,,,,,,,,,,,,,,,,,,,,,,,,😍😍,2
,,,,,,,,,,,,,,,,,,,,,,,,,😭,2
,,,,,,,,,,,,,,,,,,,,,,,,,😮‍💨,2
,,,,,,,,,,,,,,,,,,,,,,,,,🙌,2
,,,,,,,,,,,,,,,,,,,,,,,,,🙏,2
,,,,,,,,,,,,,,,,,,,,,,,,,🚨,2
,,,,,,,,,,,,,,,,,,,,,,,,,🤌,2
,,,,,,,,,,,,,,,,,,,,,,,,,🤎,2
,,,,,,,,,,,,,,,,,,,,,,,,,🤔,2
,,,,,,,,,,,,,,,,,,,,,,,,,🤩,2
,,,,,,,,,,,,,,,,,,,,,,,,,🥹,2
,,,,,,,,,,,,,,,,,,,,,,,,,🧄,2
,,,,,,,,,,,,,,,,,,,,,,,,,🧅,2
,,,,,,,,,,,,,,,,,,,,,,,,,🩷,2
,,,,,,,,,,,,,,,,,,,,,,,,,🫐,2
,,,,,,,,,,,,,,,,,,,,,,,,,🫡,2
,,,,,,,,,,,,,,,,,,,,,,,,,	1.	cook,1
,,,,,,,,,,,,,,,,,,,,,,,,,	1.	взбейте,1
,,,,,,,,,,,,,,,,,,,,,,,,,	2.	make,1
,,,,,,,,,,,,,,,,,,,,,,,,,	2.	когда,1
,,,,,,,,,,,,,,,,,,,,,,,,,	3.	bake,1
,,,,,,,,,,,,,,,,,,,,,,,,,"	3.	переверните,",1
,,,,,,,,,,,,,,,,,,,,,,,,,	4.	prepare,1
,,,,,,,,,,,,,,,,,,,,,,,,,	4.	обжарьте,1
,,,,,,,,,,,,,,,,,,,,,,,,,	5.	assemble:,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	3,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	air-fry,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	blanch,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	cut,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	pan-sear,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	pierce,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	remove,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	season,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	sprinkle,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	top,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	кунжут,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	лаваш,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	помидоры,1
,,,,,,,,,,,,,,,,,,,,,,,,,	•	сыр,1
,,,,,,,,,,,,,,,,,,,,,,,,,"

for",1
,,,,,,,,,,,,,,,,,,,,,,,,,"

instructions:
1.",1
,,,,,,,,,,,,,,,,,,,,,,,,,"

where",1
,,,,,,,,,,,,,,,,,,,,,,,,,"

الباستا:

200",1
,,,,,,,,,,,,,,,,,,,,,,,,,"

المكونات:",1
,,,,,,,,,,,,,,,,,,,,,,,,,"
@fruttiniparis",1
,,,,,,,,,,,,,,,,,,,,,,,,,"
but",1
,,,,,,,,,,,,,,,,,,,,,,,,,!!!,1
,,,,,,,,,,,,,,,,,,,,,,,,,"""browned",1
,,,,,,,,,,,,,,,,,,,,,,,,,"""fudgy",1
,,,,,,,,,,,,,,,,,,,,,,,,,"""pressure""",1
,,,,,,,,,,,,,,,,,,,,,,,,,"""randy",1
,,,,,,,,,,,,,,,,,,,,,,,,,"""recipes""",1
,,,,,,,,,,,,,,,,,,,,,,,,,#2,1
,,,,,,,,,,,,,,,,,,,,,,,,,#3,1
,,,,,,,,,,,,,,,,,,,,,,,,,#911pizza,1
,,,,,,,,,,,,,,,,,,,,,,,,,#ajiwokgisachallenge,1
,,,,,,,,,,,,,,,,,,,,,,,,,#alfredopasta,1
,,,,,,,,,,,,,,,,,,,,,,,,,#astuce,1
,,,,,,,,,,,,,,,,,,,,,,,,,#astucecuisine,1
,,,,,,,,,,,,,,,,,,,,,,,,,#baketok,1
,,,,,,,,,,,,,,,,,,,,,,,,,#bananacroissant,1
,,,,,,,,,,,,,,,,,,,,,,,,,#banananutella,1
,,,,,,,,,,,,,,,,,,,,,,,,,#bananapastry,1
,,,,,,,,,,,,,,,,,,,,,,,,,#bentocake,1
,,,,,,,,,,,,,,,,,,,,,,,,,#beutiful,1
,,,,,,,,,,,,,,,,,,,,,,,,,#blandtobam?,1
,,,,,,,,,,,,,,,,,,,,,,,,,#bouquetcupcakes,1
,,,,,,,,,,,,,,,,,,,,,,,,,#breakfast,1
,,,,,,,,,,,,,,,,,,,,,,,,,#cakedecorating,1
,,,,,,,,,,,,,,,,,,,,,,,,,#campbellspartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chefcuisinier,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chicken,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chickenmushroom,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chickenrecipe,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chinesefood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#chocolate,1
,,,,,,,,,,,,,,,,,,,,,,,,,#cinnamonroll,1
,,,,,,,,,,,,,,,,,,,,,,,,,#cleaneating,1
,,,,,,,,,,,,,,,,,,,,,,,,,#colemanpartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#comfortfood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#contentcreator,1
,,,,,,,,,,,,,,,,,,,,,,,,,#cooking,1
,,,,,,,,,,,,,,,,,,,,,,,,,#crumblcookies,1
,,,,,,,,,,,,,,,,,,,,,,,,,#cupcakebouquet,1
,,,,,,,,,,,,,,,,,,,,,,,,,#digiorno.,1
,,,,,,,,,,,,,,,,,,,,,,,,,#dinnermadeeasy,1
,,,,,,,,,,,,,,,,,,,,,,,,,#doritosloaded,1
,,,,,,,,,,,,,,,,,,,,,,,,,#dyi,1
,,,,,,,,,,,,,,,,,,,,,,,,,#easybreakfast,1
,,,,,,,,,,,,,,,,,,,,,,,,,#easycooking,1
,,,,,,,,,,,,,,,,,,,,,,,,,#easysweetrecipes,1
,,,,,,,,,,,,,,,,,,,,,,,,,#eggs,1
,,,,,,,,,,,,,,,,,,,,,,,,,#everyday,1
,,,,,,,,,,,,,,,,,,,,,,,,,#familymeals,1
,,,,,,,,,,,,,,,,,,,,,,,,,#fathersday,1
,,,,,,,,,,,,,,,,,,,,,,,,,#floralcupcaketutorial,1
,,,,,,,,,,,,,,,,,,,,,,,,,#following,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodbylaila,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodideas,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodies,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodlover,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodtok,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodtour,1
,,,,,,,,,,,,,,,,,,,,,,,,,#foodtrend,1
,,,,,,,,,,,,,,,,,,,,,,,,,#fyppp,1
,,,,,,,,,,,,,,,,,,,,,,,,,#fypppppppppppppp,1
,,,,,,,,,,,,,,,,,,,,,,,,,#gamenight,1
,,,,,,,,,,,,,,,,,,,,,,,,,#glowup,1
,,,,,,,,,,,,,,,,,,,,,,,,,#goodmorning,1
,,,,,,,,,,,,,,,,,,,,,,,,,#grazapartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#gym,1
,,,,,,,,,,,,,,,,,,,,,,,,,#hack,1
,,,,,,,,,,,,,,,,,,,,,,,,,#healthyfood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#hellmannspartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#homecooking,1
,,,,,,,,,,,,,,,,,,,,,,,,,#howto,1
,,,,,,,,,,,,,,,,,,,,,,,,,#idéerecette,1
,,,,,,,,,,,,,,,,,,,,,,,,,#interestig,1
,,,,,,,,,,,,,,,,,,,,,,,,,#jellouglygood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#joyofsidesseason,1
,,,,,,,,,,,,,,,,,,,,,,,,,#kinderbueno,1
,,,,,,,,,,,,,,,,,,,,,,,,,#kinderbuenotiramisu,1
,,,,,,,,,,,,,,,,,,,,,,,,,#knorrpartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#kochen,1
,,,,,,,,,,,,,,,,,,,,,,,,,#lexusrx,1
,,,,,,,,,,,,,,,,,,,,,,,,,#love,1
,,,,,,,,,,,,,,,,,,,,,,,,,#magickitchen38,1
,,,,,,,,,,,,,,,,,,,,,,,,,#meatybusogeveryday,1
,,,,,,,,,,,,,,,,,,,,,,,,,#morningroutine,1
,,,,,,,,,,,,,,,,,,,,,,,,,#mukbang,1
,,,,,,,,,,,,,,,,,,,,,,,,,#naturemadepartner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#naturemadevitamins,1
,,,,,,,,,,,,,,,,,,,,,,,,,#neuheit,1
,,,,,,,,,,,,,,,,,,,,,,,,,#news,1
,,,,,,,,,,,,,,,,,,,,,,,,,#nextlevelkitchen,1
,,,,,,,,,,,,,,,,,,,,,,,,,#obsessed,1
,,,,,,,,,,,,,,,,,,,,,,,,,#pastachips,1
,,,,,,,,,,,,,,,,,,,,,,,,,#pate,1
,,,,,,,,,,,,,,,,,,,,,,,,,#pizza,1
,,,,,,,,,,,,,,,,,,,,,,,,,#pizzamukbang,1
,,,,,,,,,,,,,,,,,,,,,,,,,#pourtoi,1
,,,,,,,,,,,,,,,,,,,,,,,,,#protein,1
,,,,,,,,,,,,,,,,,,,,,,,,,#publicité,1
,,,,,,,,,,,,,,,,,,,,,,,,,#ramadanrecipes,1
,,,,,,,,,,,,,,,,,,,,,,,,,#recipeideas,1
,,,,,,,,,,,,,,,,,,,,,,,,,#recipesforyou,1
,,,,,,,,,,,,,,,,,,,,,,,,,#recipesoftiktok,1
,,,,,,,,,,,,,,,,,,,,,,,,,#recipetok,1
,,,,,,,,,,,,,,,,,,,,,,,,,#rek,1
,,,,,,,,,,,,,,,,,,,,,,,,,#relatable,1
,,,,,,,,,,,,,,,,,,,,,,,,,#sama28,1
,,,,,,,,,,,,,,,,,,,,,,,,,#simplemeals,1
,,,,,,,,,,,,,,,,,,,,,,,,,#smallbusiness,1
,,,,,,,,,,,,,,,,,,,,,,,,,#snack,1
,,,,,,,,,,,,,,,,,,,,,,,,,#snackplate,1
,,,,,,,,,,,,,,,,,,,,,,,,,#snackplatte,1
,,,,,,,,,,,,,,,,,,,,,,,,,#sponsored,1
,,,,,,,,,,,,,,,,,,,,,,,,,#storytime,1
,,,,,,,,,,,,,,,,,,,,,,,,,#streetfood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#summerroll,1
,,,,,,,,,,,,,,,,,,,,,,,,,#sweets,1
,,,,,,,,,,,,,,,,,,,,,,,,,#tasty,1
,,,,,,,,,,,,,,,,,,,,,,,,,#thrive,1
,,,,,,,,,,,,,,,,,,,,,,,,,#tiramisu,1
,,,,,,,,,,,,,,,,,,,,,,,,,#trending,1
,,,,,,,,,,,,,,,,,,,,,,,,,#viralfood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#wagyu,1
,,,,,,,,,,,,,,,,,,,,,,,,,#walmart,1
,,,,,,,,,,,,,,,,,,,,,,,,,#watermelon,1
,,,,,,,,,,,,,,,,,,,,,,,,,#watermelonsticks,1
,,,,,,,,,,,,,,,,,,,,,,,,,#watermelon🍉,1
,,,,,,,,,,,,,,,,,,,,,,,,,#whatsfordinner,1
,,,,,,,,,,,,,,,,,,,,,,,,,#yearinsearch,1
,,,,,,,,,,,,,,,,,,,,,,,,,#yummyfood,1
,,,,,,,,,,,,,,,,,,,,,,,,,#мукбанг,1
,,,,,,,,,,,,,,,,,,,,,,,,,#простыерецепты,1
,,,,,,,,,,,,,,,,,,,,,,,,,$10,1
,,,,,,,,,,,,,,,,,,,,,,,,,$3.10,1
,,,,,,,,,,,,,,,,,,,,,,,,,$4.00,1
,,,,,,,,,,,,,,,,,,,,,,,,,$7+,1
,,,,,,,,,,,,,,,,,,,,,,,,,(+,1
,,,,,,,,,,,,,,,,,,,,,,,,,(0%,1
,,,,,,,,,,,,,,,,,,,,,,,,,(0.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,(0.9,1
,,,,,,,,,,,,,,,,,,,,,,,,,(1/2,1
,,,,,,,,,,,,,,,,,,,,,,,,,(1/3,1
,,,,,,,,,,,,,,,,,,,,,,,,,(10,1
,,,,,,,,,,,,,,,,,,,,,,,,,(100g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(100ml,1
,,,,,,,,,,,,,,,,,,,,,,,,,(10g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(113g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(12g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(15,1
,,,,,,,,,,,,,,,,,,,,,,,,,(15g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(16½x7x1½cm),1
,,,,,,,,,,,,,,,,,,,,,,,,,(170,1
,,,,,,,,,,,,,,,,,,,,,,,,,(1700g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(175°c).,1
,,,,,,,,,,,,,,,,,,,,,,,,,(180g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(180°c).,1
,,,,,,,,,,,,,,,,,,,,,,,,,(185g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(190g),1
,,,,,,,,,,,,,,,,,,,,,,,,,(190°c),1
,,,,,,,,,,,,,,,,,,,,,,,,,(1½cm),1
,,,,,,,,,,,,,,,,,,,,,,,,,(2,1
,,,,,,,,,,,,,,,,,,,,,,,,,(2-3,1
,,,,,,,,,,,,,,,,,,,,,,,,,(20cm),1
