Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Kaoutar,https://www.tiktok.com/@kooki_lovescooking/video/7249044005781081345,35500000,2900000,7208,853200,222000,Mini chocolate chip Pancakes,Chill Vibes,Ingredients :  300g of flour + a pinch of salt 50g of sugar 14g of baking powder 35cl of warm milk 25ml of oil 2 eggs Vanilla extract 70g of chocolate chips  (Let it rest 30 minutes)  ,faceless,english,video, #pancakes #food #recipes #easyrecipes #dessert #recipe #baking #nutella #chocolate #tiktokrecipe #foryou ,,one,10,,,#breakfast,11,,,,,oil,98
Ermalinda | Home Cooked,https://www.tiktok.com/@perfectpalate/video/7257844649052736769,35000000,2800000,8112,722900,163600,Strawberry Mochi',I Can Feel It (Christmas Instrumental),"💗 Strawberry Mochi 🍓💗 Ingredients: - 100g Glutinous rice flour - 30g Corn starch - 35g sugar  - 180ml milk 🥛  - 2-3 drops strawberry food colour - 15g butter 🧈   Filling: - 150ml Non-daury whipping cream - 50ml dairy whipping cream - 1-2tbsp condensed milk - 3 tbsp strawberry puree  Steps: 1- In a microwave-safe bowl, mix together glutinous rice flour, sugar, milk, and strawberry food colour. Mix until everything is dissolved completely. 2- Cover the bowl with plastic wrap. Steam for 20 minutes or until dough becomes translucent. 3- Then add the butter and mix until dough is well combined. Knead until well combine and dough becomes soft and stretchy. Let the dough cool for 45 minutes.  4- In a mixing bowl, add all the ingredients for filling above using hand mixer until stiff peak. 5-Dust the working area and the dough with more cooked(sangai) glutinous rice flour, so it won’t be too sticky. Flatten the dough into a circular shape . Pipe the filling in the center of the mochi wrapper. Pinch the four corners of the mochi wrapper, and then pinch the remaining corners together. 6- Tap the bottom of mochi with cooked glutinous rice flour or cornstarch. Brush the assembled mochi with a brush gently to remove excess flour.  ",faceless,english,video,#fyp #fypシ #foryoupage #foodie #foodporn #recipe #dessert #mochi #strawberry ,,when,10,,,#healthyfood,11,,,,,chocolate,93
✨Chef texy✨,https://www.tiktok.com/@texykitchen1/video/7193111129013554478,34700000,2900000,10000,193500,24000,Hambungen Helper',Flowers,Hamburger helper on a tight budget🍔💰,face,english,video,#hamburgerhelper #easyrecipe #cheapdinnerideas #cheapmealsonabudget #cookinghack ,,alfredo,9,,,#tiktok,11,,,,,3,92
Kaoutar,https://www.tiktok.com/@kooki_lovescooking/video/7238640959251172610,34300000,1700000,3154,310600,81000,Chocolate chip Nutella bombs,original sound,Ingredients : 350g of flour 45g  of sugar 5g of dry yeast  Salt 1 egg Vanilla sugar 240ml of lukewarm milk 80g of chocolate chips  Kneed the dough for 5 minutes then add 40g of softened butter and kneed again for 5 minutes.  Let it rise for 2 hours. Refrigerate Nutella for 1 hour.  Brush the buns with egg yolk mixed with 2 tbsp of milk.  Bake in preheated oven for 12 minutes at 180C,faceless,english,video, #chocolate #dough #food #nutella #recipes #easyrecipe #foodie #baking #cooking  #recipe  #dessert,,best,9,,,#trending,11,,,,,cheese,87
U-Taste Kitchen,https://www.tiktok.com/@utastekitchenuk/video/7338716852857720096,34200000,2700000,10600,636700,149600,Strawberry Mochi',Sh-Boom,Strawberry Mochi Recipe linked in my bio. ,faceless,english,video,#mochi #strawberrymochi #softmochi #recipe #baking #cooking #fyp #viraltiktok #viralvideo #dessert #desserts ,,breakfast,9,,,#airfryerrecipes,10,,,,,then,86
Mia,https://www.tiktok.com/@miahomecatfe/video/7353221855622335750,33900000,2000000,5588,720100,121900,Fudgy Brownies By Miahomecatfe',Magnetic,Full Recipe ⬇️ Fudgy Brownie🤎 Recipe @dapurumi_channel  Bahan - bahan / Ingredients: 225 gr Dark Cooking Chocolate 75 gr butter 60 ml minyak goreng / cooking oil 3 telur / eggs 210 gr gula / sugar 1/2 tsp garam / salt Vanilla extract  150 gr tepung protein sedang / all purpose flour 53 gr cocoa powder Notes: 1. Panggang selama 10-15 menit (api atas bawah) pada suhu 180°C. 2. Kemudian panggang kembali selama 20 - 30 menit (api bawah) pada suhu 160° C. ,faceless,english,video,#recipe #easyrecipe #brownie #homecafe #fyp ,,cake',9,,,#breakfastideas,10,,,,,4,85
Ilona Niina,https://www.tiktok.com/@veganiina/video/7269826508665982241,33300000,2800000,11800,832800,197200,10-min snack idea✨✨',PAINT THE TOWN RED,It doesn’t get any better than this😮‍💨,faceless,english,video, #foodtok #vegantiktok #veganrecipes #easyrecipe #chocolatelover #snackideas ,,cookie,9,,,#cakedecorating,10,,,,,cook,82
Tasty Meals & Treats,https://www.tiktok.com/@tasty_meal/video/7261134082422082821,32500000,1100000,3569,564000,187500,Chicken & Mushroom Alfredo Pasta,original sound,Creamy Chicken & Mushroom Alfredo Pasta Without Cheese! Click the link in my Bio to my channel! #fypシ #SAMA28 #pasta #alfredopasta #chickenmushroom,faceless,english,video, #viralvideo #viraltiktok #youtuber #tiktok ,,3,8,,,#creamypasta,10,,,,,cream,81
Sonja Melina,https://www.tiktok.com/@sonjamelina/video/7466783263659445526,32300000,2800000,5459,291000,259200,Minikeksit,Roman Holiday Sped Up,Niin paljon keksejä 🍪  Here’s the ingredients for this Cookie Dough: 1 dl sugar 1 dl brown sugar 100 g soft butter 1 dl large egg 3 dl all-purpose flour 1 tsp baking soda 1 tsp baking powder 1 tsp vanilla sugar 150 g small chocolate chips Bake these in 180C for 6 mins depending on your oven 🧑🏼‍🍳 ,faceless,finnish,video,#minicookies #minikeksit #suklaahippukeksit #bitesize #cookiebites #suklaakeksit #cookie #keksitaikina #leivontavinkki #leivontavinkit ,,dinner,8,,,#pastarecipe,10,,,,,pasta,77
Petre-Andrei,https://www.tiktok.com/@petre.andrei.catana/video/7331437477737090337,31800000,2100000,7218,148000,51400,nobody deserve to be single on 14 February',Ghibli-style nostalgic waltz,results should be ready in 48 h ,faceless,english,video,#single #valentinesdaygift #bf #grow ,,fryer,8,,,#viralvideo,10,,,,,sugar,77
